,Time Series,Policy,Coefficient,VAL_nobs,P_nobs,VAL_min,P_min,VAL_max,P_max,VAL_mean,P_mean,VAL_variance,P_variance,VAL_0.25_quantile,P_0.25_quantile,VAL_median,P_median,VAL_0.75_quantile,P_0.75_quantile,VAL_skewness,P_skewness,VAL_kurtosis,P_kurtosis
0,Confirmed,C1_School closing,Kendall,143.0,143.0,-0.4603724403707484,1.348085494416018e-31,0.8106388828003992,0.9422619302981154,0.29880852211884246,0.10934908842129921,0.0841828934946345,0.04926081292577196,0.10578882679012758,9.882322318738223e-11,0.3123265852292252,0.00012095248901198296,0.5050342376137439,0.10544126193357578,-0.382810598695854,2.274064489721933,-0.4742891796882214,4.162255815460461
1,Confirmed,C1_School closing,Spearman,143.0,143.0,-0.5199088942965425,4.523340720827577e-48,0.8793795859708544,0.9426780380429277,0.33354289465682757,0.10992619420372488,0.10306957685718027,0.05009706778985611,0.114795746297921,1.3065645751331343e-12,0.35804118292341197,3.9342380943360356e-05,0.5575390040814439,0.10572124842201361,-0.36865949664463477,2.277108674163909,-0.500484545025865,4.1872032076370225
2,Confirmed,C2_Workplace closing,Kendall,135.0,135.0,-0.41012595747024616,2.0515574952723217e-31,0.8364156138256222,0.8102864106067439,0.29468886238494496,0.06570166701523163,0.09510435405130412,0.021911555874450275,0.11245232895427693,1.114375412455482e-11,0.2937438630379568,0.00024314137996703691,0.5538487710828822,0.03827409464918398,-0.2961466590189463,2.9630761482868837,-0.8037055922893197,9.033040207162497
3,Confirmed,C2_Workplace closing,Spearman,135.0,135.0,-0.4583232054683339,2.5444802922362016e-52,0.9037046426573928,0.969526488433583,0.339607207040726,0.06504544145729793,0.11531995454611259,0.025613071150757144,0.14914217190897155,8.631177758835151e-14,0.3441288529574719,8.023675691215541e-05,0.6356509176490306,0.036864480481437145,-0.36410795743507673,3.359094121464439,-0.7472050416641793,11.998504955854758
4,Confirmed,C3_Cancel public events,Kendall,121.0,121.0,-0.5943595684996404,7.349951215627298e-25,0.7452195804553066,0.6837707444276993,0.32634903065976767,0.0611816937528263,0.07564843577538213,0.02051919899615108,0.17930643975149355,1.506245713955956e-11,0.3457594532512795,2.4953534059118838e-05,0.5450506544315532,0.031453423791626044,-0.8184216862957807,2.805126841123867,0.7442423030674625,7.351059272306401
5,Confirmed,C3_Cancel public events,Spearman,121.0,121.0,-0.5987869413976195,3.9461785138191645e-39,0.8331663932706412,0.7556248609429849,0.36468558890191555,0.06251013172231654,0.09114417832602013,0.02200036131976967,0.19327783587126707,7.237033482207537e-14,0.38300694007519565,9.865993692358662e-06,0.6093004301613869,0.030713170912475055,-0.7168834484821363,2.880858876955519,0.42202376618049486,7.94786234524028
6,Confirmed,C4_Restrictions on gatherings,Kendall,115.0,115.0,-0.4702525519159547,2.0379588727198966e-32,0.8374617030084309,0.9533096556794911,0.35065969535959507,0.07591185423713272,0.09033567311193517,0.03461743699967598,0.158876697064672,2.292752728366078e-13,0.3900686581262771,6.253181021905711e-06,0.5867282852467418,0.03329681445271606,-0.48138538821203924,3.113751874470856,-0.45882842559485715,9.61108077792855
7,Confirmed,C4_Restrictions on gatherings,Spearman,115.0,115.0,-0.4770728754428687,2.0394866774616425e-54,0.9027326512475483,0.9536600641904677,0.3964541818543468,0.07440704912473695,0.11053373140357703,0.03350121396942852,0.18559840555160909,6.470488663529496e-16,0.4407095353296629,1.6192266984001875e-06,0.6412388874626438,0.02595991945485398,-0.48964076975797655,3.1018167651682127,-0.5484849756504051,9.646499998346492
8,Confirmed,C5_Close public transport,Kendall,96.0,96.0,-0.39576309220347466,2.6679618111235172e-25,0.810064334991793,0.9468237680799073,0.3435602914580846,0.08080155159799969,0.08493132210873684,0.041133333356635,0.11926308832115608,5.82208955611691e-11,0.4173508829620516,8.431605159303641e-07,0.5602253600486763,0.007503337254719893,-0.7176328999476835,2.9958044629504093,-0.3759670237832182,8.562196001192136
9,Confirmed,C5_Close public transport,Spearman,96.0,96.0,-0.44084863254106815,8.069494982492773e-47,0.8815236541465594,0.9472481205699024,0.38782347186458727,0.08237764172032469,0.1053437994387336,0.04251806922103342,0.14586483448143023,3.367300253195641e-13,0.4784399938235213,2.070263054544265e-07,0.6263338633770237,0.00526938489345013,-0.7288386276110017,2.8873812500774862,-0.3820821544983848,7.7480188971186035
10,Confirmed,C6_Stay at home requirements,Kendall,92.0,92.0,-0.26938604854166387,1.775767966207834e-31,0.8306057222435168,0.7538258103664066,0.3552872509034836,0.061493011257198214,0.080110064589416,0.0314667942409235,0.18527152377682218,5.803944518887997e-12,0.3777873578117802,1.7558927993546066e-06,0.579631853851101,0.011396482410078299,-0.49694282700320813,3.234311922984465,-0.4916660270137805,9.067010805824689
11,Confirmed,C6_Stay at home requirements,Spearman,92.0,92.0,-0.2869269101536287,4.3347049439424043e-51,0.9000578513494755,0.8446161304109313,0.40934042238670804,0.060274402069863536,0.09549121205614058,0.03137122712417076,0.22470351787518092,1.7986716025457282e-14,0.4528517968110428,4.853182334119422e-07,0.6462412549545067,0.00959100745384776,-0.5759837548147176,3.2635461027606265,-0.453924653145771,9.442504733304794
12,Confirmed,C7_Restrictions on internal movement,Kendall,90.0,90.0,-0.23027263840938877,3.1321154601115027e-27,0.7781654337251135,0.899561044431386,0.3820358247777333,0.04718348389922353,0.06837323580511105,0.021638394544019536,0.24563581172899185,1.072222292188781e-11,0.4302237623746522,5.379043813366686e-07,0.5696249982791911,0.008122392469825148,-0.7818592691882837,4.077101932622463,-0.07578793504988157,17.138664357609557
13,Confirmed,C7_Restrictions on internal movement,Spearman,90.0,90.0,-0.2574452742155616,2.8901203752944103e-46,0.8640591881888939,0.9002530969105587,0.42848261409630173,0.0471428613220026,0.08306560899121916,0.020770254215238988,0.27570634407516453,1.02854850098613e-14,0.491415490668061,1.0495852447110767e-07,0.6310767498752685,0.006095341875471057,-0.7783183832519884,4.036926370104742,-0.135490765545633,17.074217715646714
14,Confirmed,C8_International travel controls,Kendall,82.0,82.0,-0.760846718717424,2.1492641716080064e-25,0.810064334991793,0.8366008685020672,0.3603113655529539,0.07263094850127033,0.07404456172365757,0.03189321150154733,0.21107934063580835,2.879307842735949e-12,0.3972633154054732,1.0829211392809688e-06,0.5722192260184679,0.001985903480719993,-1.2732499054799025,2.773592524154059,2.378237667674351,7.230364541607971
15,Confirmed,C8_International travel controls,Spearman,82.0,82.0,-0.8502672477176562,8.069494982492773e-47,0.8815236541465594,0.8379290308571005,0.4071404463307092,0.07658444341377973,0.09238302338879781,0.03544958278021095,0.23852386278534193,3.3469728054519517e-15,0.45050403993162935,2.3449271046483984e-07,0.6457609387341676,0.003039073123954465,-1.292649874836754,2.6606346657963456,2.3947105145671514,6.208310893730202
16,Confirmed,E1_Income support,Kendall,61.0,61.0,-0.4654259604743574,1.3740360283914353e-26,0.7693757084254413,0.6481228967330466,0.41843125905365425,0.06127023062069932,0.08141562685308759,0.023952543153154794,0.23229829749589373,1.2592570653556304e-14,0.4763570840068052,1.940728931718304e-08,0.6448338729280486,0.0024664866750504426,-1.0338601387740542,2.620951019937268,0.6018137342647019,5.758060102310846
